中型车流量,数据时间,大车流量,平均车速,监测点id,微型车流量,长车流量,车头距,id,车流量,平均占道率,轻型车流量
3584,"	2024-02-28 00:00:00",7056,"6.9700000000000003E+001",1001,23552,5083,0,24062,37162,"1.8399999999999999E+001",26522
196,"	2022-09-19 00:00:00",218,"7.6799999999999997E+001",1001,1620,218,0,22527,2034,"2.8999999999999999E+000",1620
702,"	2022-09-18 00:00:00",592,"9.3299999999999997E+001",1001,6421,592,0,22507,7715,"5.5999999999999996E+000",6421
2353,"	2024-03-02 00:00:00",4804,"7.0400000000000006E+001",1001,26260,6039,0,24065,23893,"1.9199999999999999E+001",16736
2873,"	2024-03-03 00:00:00",5855,"5.7100000000000001E+001",1001,20534,4237,0,24066,31860,"2.1E+001",23132
533,"	2018-03-07 00:00:00",282,"3.7899999999999999E+001",1001,2447,655,0,7981,4420,"2.8999999999999999E+000",503
1189,"	2021-12-06 00:00:00",1394,"8.1799999999999997E+001",1001,7136,1394,0,21767,9719,"8.0E+000",7136
1076,"	2021-12-07 00:00:00",1280,"7.5200000000000003E+001",1001,6610,1280,0,21768,8966,"1.0300000000000001E+001",6610
1075,"	2021-12-08 00:00:00",1368,"8.4099999999999994E+001",1001,6932,1368,0,21769,9375,"8.8000000000000007E+000",6932
284,"	2017-06-18 00:00:00",184,"1.6399999999999999E+001",1001,1224,553,0,3041,2488,"4.2000000000000002E+000",243
98,"	2017-06-17 00:00:00",70,"9.6999999999999993E+000",1001,386,248,0,3021,882,"2.3999999999999999E+000",80
466,"	2018-03-19 00:00:00",250,"5.9899999999999999E+001",1001,1821,801,0,8221,3735,"8.8000000000000007E+000",397
1217,"	2021-12-12 00:00:00",1363,"7.7099999999999994E+001",1001,7663,1363,0,21782,10243,"1.0699999999999999E+001",7663
1376,"	2021-07-31 00:00:00",1599,"9.5299999999999997E+001",1001,10344,1599,0,21465,13319,"8.3000000000000007E+000",10344
1019,"	2021-12-14 00:00:00",1180,"7.8299999999999997E+001",1001,6773,1180,0,21801,8972,"8.9000000000000004E+000",6773
818,"	2021-12-15 00:00:00",839,"8.1400000000000006E+001",1001,5564,839,0,21802,7221,"7.5E+000",5564
742,"	2021-12-16 00:00:00",860,"8.0900000000000006E+001",1001,4692,860,0,21803,6294,"7.7000000000000002E+000",4692
1242,"	2021-07-30 00:00:00",1291,"9.4200000000000003E+001",1001,10109,1289,0,21464,12646,"7.7000000000000002E+000",10113
163,"	2018-04-02 00:00:00",95,"1.6699999999999999E+001",1001,812,305,0,8501,1488,"4.7999999999999998E+000",113
173,"	2018-04-04 00:00:00",90,"4.35E+001",1001,826,220,0,8541,1472,"2.7000000000000002E+000",163
2346,"	2021-12-19 00:00:00",2759,"8.9599999999999994E+001",1001,15818,2759,0,21821,20923,"1.1699999999999999E+001",15818
867,"	2017-06-13 00:00:00",539,"3.2700000000000003E+001",1001,4582,1384,0,2941,8133,"1.0199999999999999E+001",761
1883,"	2021-12-21 00:00:00",2108,"9.2E+001",1001,13610,2108,0,21823,17601,"9.8000000000000007E+000",13610
1062,"	2021-12-22 00:00:00",1261,"7.8200000000000003E+001",1001,7036,1261,0,21824,9359,"1.05E+001",7036
